#{"t_start": 1761360662.7164114, "env_id": "None"}
r,l,t
248.97055,501,4.316322
367.16092,589,4.955352
974.25714,659,5.435655
373.01004,663,5.466818
515.0511,673,5.541576
538.3303,713,5.826262
470.5411,731,5.959416
405.69064,793,6.435502
216.80035,485,8.718537
509.05972,615,9.006724
273.2509,551,9.677684
129.42862,529,10.026754
161.96904,553,10.078317
299.71976,633,10.27178
971.87115,643,10.458434
561.5506,633,11.250779
196.52939,491,12.335135
213.34016,451,12.35616
304.3606,457,13.472082
202.75998,447,13.753782
276.58044,485,13.855295
571.9016,643,14.756358
576.9419,701,14.847145
294.73047,573,15.435192
226.32027,485,15.78805
263.00024,557,17.759101
280.7194,645,18.277499
917.6852,709,18.449024
360.7986,871,18.493075
241.23978,539,18.606727
514.9431,577,18.790517
201.08937,539,19.194171
149.65907,531,19.527186
240.3103,417,21.453335
206.06996,481,21.857984
256.7193,607,22.060831
178.77953,519,22.28647
275.13956,587,22.95805
302.40033,549,23.104536
195.94835,715,23.353751
181.4294,549,23.407907
299.27005,519,25.227738
201.53947,549,25.847873
270.17935,643,26.699978
210.8996,539,26.857415
270.17938,643,26.928081
256.98987,497,27.008675
310.08017,523,27.153804
240.38922,647,27.769743
263.4097,457,28.457161
262.02963,553,29.757133
290.4705,417,29.819288
246.94977,497,30.233415
256.98984,497,30.463943
302.51038,549,30.921723
257.73993,503,31.36027
313.15005,667,31.891592
256.96985,497,32.002009
279.7203,521,33.528522
233.70947,573,33.848169
310.38037,527,34.215477
284.3801,573,34.314756
279.3204,515,34.576279
262.04968,553,35.285151
256.96985,497,35.53661
309.46082,513,35.549634
260.5897,537,37.658117
255.7099,483,38.004036
203.61891,577,38.416413
274.46915,691,38.446454
189.82904,643,38.793819
197.18915,507,39.152596
262.66016,553,39.486547
209.0787,637,39.837471
275.0796,585,41.864614
257.2799,497,42.025594
259.18985,519,42.528826
314.6803,573,42.54533
270.26935,643,42.640494
257.05984,497,42.735212
342.37042,547,43.419703
188.92952,521,43.584454
265.9596,485,45.353247
249.63971,527,45.817264
256.99985,497,46.123128
257.03986,497,46.221119
276.92017,489,46.261683
299.92038,519,46.282297
337.78052,497,47.010241
276.09045,481,47.063303
176.27913,497,49.424062
273.11026,447,49.462669
257.8998,507,49.799926
257.02985,497,49.875013
270.1093,643,50.025211
314.4799,573,50.41911
304.8003,573,51.69726
291.7896,653,52.333755
196.29918,497,53.635116
257.94986,507,54.042382
257.01984,497,54.042382
283.7502,565,54.090543
258.3002,507,54.279946
176.76915,501,55.362394
263.0797,563,56.441303
221.94817,781,56.645305
254.1901,463,57.45147
196.67917,501,57.90567
260.88995,537,57.95172
273.8896,573,58.272681
270.31943,643,58.374795
257.94986,507,59.179087
257.30994,497,60.202677
197.2392,505,61.281232
249.6102,521,61.859082
245.59991,481,61.877218
276.6894,711,62.00077
257.10986,497,62.103945
267.25943,611,62.584004
196.3292,497,63.852297
270.25943,643,63.909091
258.3999,509,65.064245
196.29918,497,65.546604
176.38916,497,65.676459
260.5897,537,66.063304
196.49922,497,66.249268
262.91995,449,67.182436
289.98947,745,67.377409
256.96985,497,67.587296
256.98984,497,68.728253
256.96985,497,69.428681
272.45972,555,69.759334
306.3207,477,71.140806
249.26984,519,71.279442
265.7003,475,71.3765
275.21918,805,72.377442
304.52927,797,72.516624
257.00986,497,72.786481
196.28918,497,73.523908
263.4097,457,75.352664
258.04996,507,75.701204
232.06964,553,75.992756
263.4397,457,76.460695
303.63065,449,76.845896
226.85973,497,76.973877
342.68863,889,77.540784
202.34956,447,77.666883
257.01984,497,79.920066
186.75963,497,80.300939
276.11044,481,80.42992
194.76988,469,80.783193
337.62045,497,81.497151
119.098495,531,81.963625
160.48958,531,82.429145
301.52988,651,83.586382
209.26933,523,84.969418
268.05988,615,85.419423
233.76949,573,85.520344
558.7394,615,86.250422
241.95026,545,86.680603
608.25977,607,86.81949
231.58957,549,87.209517
241.15976,539,88.298344
230.90967,541,89.727694
368.79022,619,90.945646
241.15976,539,90.976196
270.19937,643,91.065801
176.23912,497,91.175433
242.1101,549,91.4985
279.6803,521,91.753418
230.6493,539,92.976929
367.51025,605,94.927799
196.71979,491,95.17003
245.43002,475,95.250123
332.49045,549,95.780375
257.55002,501,96.040333
189.84904,643,97.00222
313.2805,557,97.752691
304.55927,797,97.840324
257.0599,497,99.331094
196.71922,499,99.616336
257.17987,497,99.684921
245.5199,481,100.350316
260.1502,527,100.4805
226.87976,497,101.447184
256.99985,497,102.189351
257.54,501,102.301298
196.40921,497,103.898359
247.15982,499,103.981949
270.23932,643,104.912174
191.9785,671,106.133043
281.85928,661,106.179676
207.42877,619,106.803387
265.00983,579,107.314627
270.25934,643,107.75456
260.76978,535,108.540955
264.97977,583,109.025762
196.48918,499,109.224044
273.9096,573,111.148112
250.10013,417,111.409815
200.32913,537,111.500179
257.2299,497,111.672201
275.07947,693,112.277554
256.46997,487,112.846837
200.27911,537,113.958611
272.23935,663,114.861366
304.0303,457,115.151089
196.42921,497,115.755851
255.59991,481,115.869346
258.05984,507,115.934958
257.20987,497,116.567185
258.43988,509,117.23416
257.8998,507,118.335573
278.25037,505,119.489203
351.08023,643,120.456601
276.83047,487,120.814653
234.81941,585,120.955854
189.4286,643,121.347459
270.23935,643,121.521473
257.05984,497,121.583554
260.88992,537,123.052902
205.94891,599,124.751938
251.49026,433,125.109441
196.74924,499,125.157493
256.9898,497,125.278768
266.77972,601,125.692087
255.59991,481,125.780716
259.79974,527,126.13386
276.20047,481,127.244013
260.21024,417,128.890614
200.03906,537,129.386421
257.49985,501,129.444513
256.98984,497,130.054074
205.39929,593,130.280898
284.3801,573,130.628215
261.6597,547,130.819958
233.21921,567,132.125154
257.37988,499,133.875458
284.48013,573,133.958252
269.37982,521,134.02181
273.8796,573,135.111251
256.96985,497,135.229568
264.9199,581,135.412438
270.14932,643,136.289419
272.13968,553,137.003474
278.70047,507,138.240285
243.80972,461,139.089572
257.34988,499,139.531143
196.68918,501,139.729276
213.61848,689,139.957614
197.01915,505,140.645008
304.55942,795,140.79969
260.5697,537,141.626784
254.55997,469,143.121022
257.1699,497,143.806894
197.12927,501,144.03627
280.2495,749,144.705561
197.14923,503,145.005414
209.06871,637,145.463199
203.67892,577,145.801963
259.22977,521,146.148029
277.66046,497,147.441447
277.64047,497,149.293278
209.01869,637,149.33884
274.73956,583,149.747356
255.5599,481,149.941223
216.98839,725,150.323574
274.87958,583,150.486321
267.71942,615,151.438246
285.64014,585,152.474529
260.8505,421,152.907142
257.9699,507,153.696785
196.3692,497,154.778079
264.2596,577,154.940891
261.03952,647,155.315959
256.9598,497,155.692164
283.44876,791,157.062164
257.72992,501,157.152041
265.64017,583,157.395069
196.29918,497,157.869725
256.94983,497,158.910741
197.33922,505,159.584961
196.84926,499,159.932746
276.74933,713,160.921014
198.53915,519,161.423097
257.23004,497,161.592213
227.35986,497,161.996868
270.32935,643,162.439809
259.0598,519,163.107068
314.09036,457,163.187161
276.31046,483,163.694424
259.56027,519,164.959583
304.0403,457,164.982106
256.98984,497,165.495078
257.38983,501,165.968441
257.14987,497,166.38859
257.04987,497,167.03757
227.80972,507,167.190627
196.3492,497,167.64124
255.08008,473,168.650346
257.71982,505,168.871301
197.12927,501,169.314544
231.38957,547,170.598783
206.8888,613,170.680638
194.45934,473,170.845837
257.13986,497,170.877494
197.26917,507,171.529528
257.44995,497,172.466716
196.33919,497,172.685761
196.31918,497,173.115618
196.28918,497,174.373546
256.99985,497,174.57779
257.44986,501,174.57779
200.11908,537,174.604819
186.35918,497,176.180815
257.68982,505,176.466377
211.34865,661,176.48489
270.1293,643,177.933109
260.88995,537,178.639302
264.9197,583,178.959174
205.94891,599,179.081352
270.38943,643,179.212074
255.13007,473,179.703542
196.3292,497,180.176402
196.59924,497,181.723888
246.38904,711,181.854062
194.7193,477,182.630134
193.98929,471,182.703214
210.99861,659,183.668207
209.18878,635,184.055652
198.92924,521,184.185409
289.92905,747,185.390557
200.00906,537,185.885475
209.18878,635,186.51122
204.68901,585,187.020575
267.46002,603,188.681088
211.90858,669,188.777185
207.92885,621,188.950397
194.39932,473,189.058444
231.32796,881,189.397798
259.60986,521,189.896024
257.25986,499,190.334408
194.41933,473,190.651173
256.98984,497,192.356807
196.55919,499,192.758026
199.93904,537,192.938413
263.5301,563,192.97295
260.77972,537,193.398137
198.55916,519,193.751901
196.49922,497,194.04088
243.30954,567,194.880868
196.51923,497,196.118967
282.8804,553,197.118979
265.18964,583,197.137496
196.67917,501,197.163084
209.0487,637,197.730942
274.84958,583,198.205058
263.7099,567,198.363399
277.79044,497,198.673765
197.12918,505,200.044136
196.3492,497,201.028953
253.92001,569,201.516455
196.3792,497,201.995093
196.66927,497,202.164788
197.26926,503,202.526743
280.10928,749,202.947509
276.02957,703,203.243611
209.01869,637,205.425732
263.7896,571,206.050348
257.68982,505,206.799714
200.13908,537,206.904506
207.56885,617,207.05371
249.10974,521,207.363112
196.42921,497,207.591436
263.7497,567,208.478003
196.76929,497,209.906144
195.5603,473,211.227305
193.6493,467,211.320033
251.23932,651,212.013017
257.74988,503,212.275239
269.14948,627,213.210907
214.71844,701,213.312118
276.76904,717,215.202209
206.1289,601,215.543244
257.95,503,215.99558
196.56924,497,216.553632
257.36993,497,216.78594
210.08875,645,217.132439
257.41992,497,217.72852
210.80872,653,218.985332
308.5606,505,219.59678
200.22911,537,220.228546
260.6197,537,221.255735
257.7002,497,221.493553
263.4099,563,221.716971
274.6693,691,222.065448
260.88,537,222.472599
196.63925,497,223.376954
257.46024,497,223.980052
196.75919,501,224.62261
193.96933,469,226.122154
201.97902,557,226.345017
208.29872,629,226.733855
204.1889,583,226.797937
278.84058,509,227.783045
209.06871,637,227.996475
260.87976,537,228.651676
195.8492,489,228.87703
260.50983,531,230.733795
257.07986,497,231.117238
205.76892,597,231.53602
196.82916,503,232.36506
210.80872,653,232.423311
260.93988,537,232.469201
