app,algo,persona,episode,ep_len,ep_return,timestamp_ms,ale_score,deaths,episode_ale_score,pellets,score_delta,steps,unique_tiles
pacman,ppo,pacman_explorer,0,439,115.38978576660156,1761455050581,115.39000000000061,1.0,115.39000000000061,1.0,120.0,439.0,1.0
pacman,ppo,pacman_explorer,0,473,225.47903442382812,1761455050787,225.47999999999948,1.0,225.47999999999948,1.0,220.0,473.0,1.0
pacman,ppo,pacman_explorer,0,489,193.23851013183594,1761455050890,193.23999999999853,1.0,193.23999999999853,1.0,190.0,489.0,1.0
pacman,ppo,pacman_explorer,0,509,304.08935546875,1761455051030,304.0899999999983,1.0,304.0899999999983,1.0,290.0,509.0,1.0
pacman,ppo,pacman_explorer,0,511,271.909423828125,1761455051047,271.9099999999985,1.0,271.9099999999985,1.0,260.0,511.0,1.0
pacman,ppo,pacman_explorer,0,511,327.3602600097656,1761455051047,327.35999999999916,1.0,327.35999999999916,1.0,310.0,511.0,1.0
pacman,ppo,pacman_explorer,0,515,228.5491485595703,1761455051074,228.54999999999998,1.0,228.54999999999998,1.0,220.0,515.0,1.0
pacman,ppo,pacman_explorer,0,817,709.5223388671875,1761455052982,709.5199999999916,1.0,709.5199999999916,1.0,670.0,817.0,1.0
pacman,ppo,pacman_explorer,0,325,110.5002212524414,1761455053096,110.50000000000091,1.0,110.50000000000091,1.0,120.0,325.0,1.0
pacman,ppo,pacman_explorer,0,495,182.89842224121094,1761455053691,182.89999999999853,1.0,182.89999999999853,1.0,180.0,495.0,1.0
pacman,ppo,pacman_explorer,0,485,348.24920654296875,1761455053937,348.24999999999886,1.0,348.24999999999886,1.0,330.0,485.0,1.0
pacman,ppo,pacman_explorer,0,465,214.94857788085938,1761455053937,214.94999999999865,1.0,214.94999999999865,1.0,210.0,465.0,1.0
pacman,ppo,pacman_explorer,0,501,282.6591491699219,1761455053937,282.6599999999986,1.0,282.6599999999986,1.0,270.0,501.0,1.0
pacman,ppo,pacman_explorer,0,535,183.6497802734375,1761455054397,183.6500000000007,1.0,183.6500000000007,1.0,180.0,535.0,1.0
pacman,ppo,pacman_explorer,0,549,272.888916015625,1761455054472,272.8899999999986,1.0,272.8899999999986,1.0,260.0,549.0,1.0
pacman,ppo,pacman_explorer,0,405,135.44989013671875,1761455056392,135.45000000000084,1.0,135.45000000000084,1.0,140.0,405.0,1.0
pacman,ppo,pacman_explorer,0,525,371.3992614746094,1761455056416,371.3999999999985,1.0,371.3999999999985,1.0,350.0,525.0,1.0
pacman,ppo,pacman_explorer,0,481,193.00897216796875,1761455057178,193.00999999999934,1.0,193.00999999999934,1.0,190.0,481.0,1.0
pacman,ppo,pacman_explorer,0,489,226.3889617919922,1761455057232,226.38999999999933,1.0,226.38999999999933,1.0,220.0,489.0,1.0
pacman,ppo,pacman_explorer,0,637,232.21852111816406,1761455057300,232.21999999999903,1.0,232.21999999999903,1.0,220.0,637.0,1.0
