#{"t_start": 1761360502.1294467, "env_id": "None"}
r,l,t
185.85068,365,2.989444
234.56094,453,3.468275
174.86037,463,3.524871
225.14067,465,3.540381
308.22147,489,3.684174
180.31056,517,3.837883
321.95135,525,3.886025
281.97125,531,3.923674
123.83985,349,5.463579
298.52133,491,5.690941
224.18114,447,5.983319
212.58089,433,6.048548
210.80077,523,6.338056
215.82076,469,6.395649
267.32095,479,6.523682
359.80112,507,8.244969
464.34134,873,8.673518
204.57013,569,8.823725
255.17062,465,8.983757
244.11002,561,9.102162
431.57224,621,9.48785
544.8304,663,10.01966
424.9019,663,10.204859
296.7715,473,10.857801
192.2503,433,11.063211
159.40997,407,11.072225
284.61084,457,11.602045
217.84068,489,11.673715
297.39084,487,12.186311
310.86124,415,17.203307
278.7311,497,18.132626
336.25125,471,18.920524
300.94116,521,19.677478
293.29114,545,19.863517
255.0307,457,19.9361
318.1611,485,20.251907
545.1294,567,21.488869
222.2505,537,22.262963
305.10065,561,23.095854
206.13086,475,23.112865
202.40025,433,23.381919
349.71045,833,23.588852
253.69067,551,23.93997
370.10245,709,25.126565
137.89012,385,25.181562
322.91193,537,25.481551
210.26024,525,27.055997
368.36148,489,27.224855
227.851,491,27.605758
222.11061,431,28.254123
1018.32855,699,28.325699
369.3703,729,28.778826
238.19,505,28.859964
342.89096,647,30.297886
300.3412,513,30.914204
216.53009,481,31.225263
216.37006,369,31.574556
306.73108,583,31.599582
287.86136,487,31.981176
220.55078,515,32.125081
306.4508,473,32.408257
214.19095,449,38.160264
272.45126,535,39.399979
269.75153,505,39.488612
292.8913,539,40.082372
315.93146,573,40.742459
210.98038,529,40.843713
306.6514,579,40.929452
446.43137,895,42.70298
261.48074,527,43.32785
383.65042,559,43.473893
387.56107,807,44.026518
306.49146,471,44.270556
188.07979,501,44.566948
264.07108,553,44.771652
616.9089,787,45.818796
350.11127,611,47.218107
312.29138,529,47.400547
344.75153,557,48.165165
498.54166,697,48.480515
407.05148,581,48.593253
242.62076,541,48.809853
258.70047,395,50.158822
371.62073,749,50.158822
403.68143,763,51.668786
279.79092,405,51.757479
278.61087,501,52.515766
