app,algo,persona,episode,ep_len,ep_return,timestamp_ms,ale_score,deaths,episode_ale_score,pellets,score_delta,steps,unique_tiles
pacman,a2c,pacman_survivor,0,501,244.29989624023438,1761511609379,84972.30999999982,3.0,244.29999999999822,37.0,100540.0,125751.0,187.0
pacman,a2c,pacman_survivor,0,513,265.42999267578125,1761511609538,95629.87999999989,3.0,265.4299999999986,39.0,113360.0,131841.0,224.0
pacman,a2c,pacman_survivor,0,573,215.82943725585938,1761511610325,70985.19,3.0,215.82999999999956,30.0,92630.0,164451.0,264.0
pacman,a2c,pacman_survivor,0,597,216.3990478515625,1761511610641,83610.72999999982,3.0,216.3999999999988,30.0,107240.0,178503.0,249.0
pacman,a2c,pacman_survivor,0,661,330.62969970703125,1761511611492,149292.47999999934,3.0,330.62999999999647,41.0,161980.0,218791.0,260.0
pacman,a2c,pacman_survivor,0,709,400.0600891113281,1761511612112,207632.58999999918,3.0,400.05999999999494,29.0,223420.0,251695.0,299.0
pacman,a2c,pacman_survivor,0,947,380.53009033203125,1761511615200,273418.8099999992,3.0,380.5299999999952,41.0,292030.0,448878.0,392.0
pacman,a2c,pacman_survivor,0,967,524.41748046875,1761511615471,406663.079999995,3.0,524.409999999984,55.0,410390.0,468028.0,440.0
pacman,a2c,pacman_survivor,1,523,122.52897644042969,1761511616217,71347.90999999996,3.0,122.52999999999963,25.0,87970.0,137026.0,184.0
pacman,a2c,pacman_survivor,1,457,151.26947021484375,1761511616298,43969.88000000015,3.0,151.27000000000012,28.0,59670.0,104653.0,196.0
pacman,a2c,pacman_survivor,1,535,102.8189697265625,1761511616538,59581.999999999956,3.0,102.81999999999971,23.0,78350.0,143380.0,217.0
pacman,a2c,pacman_survivor,1,513,163.52976989746094,1761511618250,45206.95000000032,3.0,163.53000000000094,29.0,60390.0,131841.0,234.0
pacman,a2c,pacman_survivor,1,697,159.18783569335938,1761511619834,118335.89999999963,3.0,159.1899999999983,24.0,139850.0,243253.0,348.0
pacman,a2c,pacman_survivor,1,587,93.55845642089844,1761511619869,90910.71999999974,3.0,93.55999999999898,18.0,104720.0,172578.0,235.0
pacman,a2c,pacman_survivor,1,499,162.80911254882812,1761511622103,74951.26000000008,3.0,162.8099999999998,29.0,87160.0,124750.0,204.0
pacman,a2c,pacman_survivor,2,477,121.39942932128906,1761511622884,43254.300000000185,3.0,121.4000000000002,25.0,60660.0,114003.0,209.0
pacman,a2c,pacman_survivor,2,535,102.73880004882812,1761511623344,64037.46999999984,3.0,102.73999999999938,23.0,79770.0,143380.0,209.0
pacman,a2c,pacman_survivor,1,663,107.21847534179688,1761511624024,81262.48999999971,3.0,107.21999999999929,23.0,96960.0,220116.0,273.0
pacman,a2c,pacman_survivor,2,585,104.82835388183594,1761511624094,72975.2999999996,3.0,104.82999999999879,23.0,86680.0,171405.0,268.0
pacman,a2c,pacman_survivor,2,521,153.47882080078125,1761511625141,71693.27999999993,3.0,153.47999999999936,28.0,88320.0,135981.0,225.0
pacman,a2c,pacman_survivor,2,497,122.23880004882812,1761511626424,66122.06999999988,3.0,122.23999999999927,25.0,78680.0,123753.0,233.0
pacman,a2c,pacman_survivor,2,705,159.50819396972656,1761511629141,130090.33999999959,3.0,159.50999999999877,28.0,148910.0,248865.0,276.0
pacman,a2c,pacman_survivor,3,483,101.22880554199219,1761511629273,65358.039999999884,3.0,101.22999999999922,23.0,78390.0,116886.0,214.0
pacman,a2c,pacman_survivor,2,499,40.45909881591797,1761511630626,51280.45999999987,3.0,40.45999999999985,17.0,64340.0,124750.0,209.0
pacman,a2c,pacman_survivor,2,693,118.58798217773438,1761511631286,104492.1899999995,3.0,118.5899999999985,24.0,132410.0,240471.0,300.0
pacman,a2c,pacman_survivor,3,609,44.02850341796875,1761511631408,77198.38999999972,3.0,44.02999999999915,17.0,86800.0,185745.0,236.0
pacman,a2c,pacman_survivor,3,509,102.0286865234375,1761511631887,67979.86999999975,3.0,102.02999999999909,23.0,84370.0,129795.0,216.0
pacman,a2c,pacman_survivor,3,453,171.37916564941406,1761511632441,66906.54999999996,3.0,171.3799999999997,30.0,78270.0,102831.0,179.0
pacman,a2c,pacman_survivor,3,681,168.99827575683594,1761511633115,110324.62999999979,3.0,168.99999999999895,29.0,138280.0,232221.0,277.0
pacman,a2c,pacman_survivor,4,553,93.22869873046875,1761511636619,72134.13999999982,3.0,93.22999999999928,22.0,89920.0,153181.0,224.0
pacman,a2c,pacman_survivor,3,601,105.028564453125,1761511637148,85128.21999999987,3.0,105.0299999999992,23.0,103870.0,180901.0,240.0
pacman,a2c,pacman_survivor,3,497,101.50881958007812,1761511637239,68135.79999999981,3.0,101.50999999999928,23.0,80710.0,123753.0,200.0
pacman,a2c,pacman_survivor,4,501,101.6888427734375,1761511638069,66452.8699999999,3.0,101.68999999999934,23.0,79380.0,125751.0,206.0
pacman,a2c,pacman_survivor,4,481,101.02877807617188,1761511638846,65840.73999999982,3.0,101.02999999999915,23.0,77930.0,115921.0,200.0
pacman,a2c,pacman_survivor,4,553,154.3687286376953,1761511639244,79544.5299999999,3.0,154.3699999999993,28.0,98280.0,153181.0,218.0
pacman,a2c,pacman_survivor,3,643,106.48883056640625,1761511639848,72143.39000000003,3.0,106.48999999999987,23.0,97020.0,207046.0,260.0
pacman,a2c,pacman_survivor,4,519,102.41867065429688,1761511640023,70332.33999999981,3.0,102.4199999999991,23.0,85510.0,134940.0,225.0
pacman,a2c,pacman_survivor,4,419,109.13969421386719,1761511642829,36913.18000000017,3.0,109.14000000000055,24.0,49250.0,87990.0,177.0
pacman,a2c,pacman_survivor,4,561,103.7685546875,1761511644821,74411.77999999974,3.0,103.76999999999904,23.0,92180.0,157641.0,234.0
pacman,a2c,pacman_survivor,5,615,146.29843139648438,1761511644946,82125.57999999967,3.0,146.299999999999,27.0,104590.0,189420.0,245.0
pacman,a2c,pacman_survivor,5,505,101.85923767089844,1761511645690,50748.83999999998,3.0,101.8600000000001,23.0,65820.0,127765.0,211.0
pacman,a2c,pacman_survivor,4,537,102.74867248535156,1761511647113,70210.77999999982,3.0,102.74999999999915,23.0,88090.0,144453.0,204.0
pacman,a2c,pacman_survivor,5,583,114.96829223632812,1761511647131,84000.92999999972,3.0,114.96999999999866,24.0,103470.0,170236.0,268.0
pacman,a2c,pacman_survivor,5,711,170.15821838378906,1761511647666,115809.67999999986,3.0,170.15999999999897,29.0,147970.0,253116.0,303.0
pacman,a2c,pacman_survivor,5,565,52.75891876220703,1761511647666,63201.589999999815,3.0,52.75999999999975,18.0,81340.0,159895.0,221.0
pacman,a2c,pacman_survivor,5,537,31.459497451782227,1761511650021,50140.620000000024,3.0,31.460000000000733,16.0,68400.0,144453.0,215.0
pacman,a2c,pacman_survivor,6,451,110.04972839355469,1761511650984,41932.87000000018,3.0,110.05000000000061,24.0,55310.0,101926.0,172.0
pacman,a2c,pacman_survivor,5,505,40.62895965576172,1761511651583,54575.13999999978,3.0,40.62999999999961,17.0,69620.0,127765.0,208.0
pacman,a2c,pacman_survivor,6,497,40.14897918701172,1761511652351,55111.48999999983,3.0,40.149999999999594,17.0,67960.0,123753.0,184.0
pacman,a2c,pacman_survivor,5,497,101.64886474609375,1761511653803,63782.99999999989,3.0,101.64999999999938,23.0,76430.0,123753.0,214.0
pacman,a2c,pacman_survivor,6,497,101.52896118164062,1761511653821,61854.73999999996,3.0,101.52999999999957,23.0,74560.0,123753.0,202.0
pacman,a2c,pacman_survivor,6,497,40.229095458984375,1761511654359,53473.589999999975,3.0,40.22999999999982,17.0,66360.0,123753.0,192.0
pacman,a2c,pacman_survivor,6,509,102.07896423339844,1761511654525,56719.16999999998,3.0,102.07999999999961,23.0,70050.0,129795.0,221.0
pacman,a2c,pacman_survivor,6,499,101.66873168945312,1761511656792,65760.90999999981,3.0,101.66999999999913,23.0,78540.0,124750.0,210.0
pacman,a2c,pacman_survivor,6,463,90.20892333984375,1761511657886,56846.22999999994,3.0,90.20999999999935,22.0,71290.0,107416.0,192.0
pacman,a2c,pacman_survivor,7,555,103.60893249511719,1761511658529,71091.09000000003,3.0,103.60999999999973,23.0,88210.0,154290.0,236.0
