#{"t_start": 1761458878.682981, "env_id": "None"}
r,l,t
-2.1200001,12,0.96337
-2.1200001,12,0.96337
-2.3300002,33,1.132172
-2.44,44,1.34635
-2.6799998,68,1.454988
-2.6899998,69,1.463996
-0.75999963,76,1.525059
-2.6599998,66,1.543587
-2.1200001,12,1.561107
-2.1200001,12,1.628186
-2.62,62,1.890005
-3.1299994,113,2.132386
-3.629999,163,2.270049
-2.52,52,2.326094
-2.8899996,89,2.384339
-2.14,14,2.439582
-2.59,59,2.606064
-2.1000001,10,2.683145
-4.1799984,218,2.706662
-3.4099991,141,2.733192
-2.2700002,27,2.928386
-2.6899998,69,2.936389
-2.14,14,3.052022
-3.0999994,110,3.162503
-2.8899996,89,3.162503
-3.9599986,196,3.172014
-2.2900002,29,3.172014
-2.1100001,11,3.252095
-2.16,16,3.301149
-2.7499998,75,3.356212
-2.26,26,3.384248
1.0700004,93,3.461335
-2.26,26,3.476849
-2.5,50,3.592464
-2.3600001,36,3.656031
-2.16,16,3.789329
-2.52,52,3.813348
-2.1100001,11,3.880114
-4.929998,293,3.905142
-2.4,40,3.922301
-2.7799997,78,4.10683
-2.7599998,76,4.108332
-2.4,40,4.214433
-2.2,20,4.273494
-2.62,62,4.330561
-3.589999,159,4.379121
-2.3700001,37,4.411145
-2.6899998,69,4.47674
-2.2900002,29,4.509268
-2.21,21,4.551317
-2.1000001,10,4.638116
-2.0900002,9,4.713185
-3.0599995,106,4.810287
-2.7499998,75,4.842316
-3.9799986,198,4.962203
-2.7899997,79,4.996733
-2.3700001,37,5.030271
-2.1200001,12,5.096832
-2.16,16,5.096832
-2.7299998,73,5.128364
-2.19,19,5.268148
-0.92999923,93,5.276654
-2.13,13,5.318507
-2.56,56,5.397096
-2.6899998,69,5.485204
-2.1000001,10,5.495209
-2.43,43,5.849674
-2.8899996,89,5.945294
-3.0399995,104,6.068364
-2.3100002,31,6.111483
-2.22,22,6.249654
-2.9799995,98,6.3196
-2.5,50,6.361671
-4.1799984,218,6.411722
-2.16,16,6.451261
-2.13,13,6.516816
-3.519999,152,6.570438
-2.7299998,73,6.794725
-2.2700002,27,6.869322
-2.17,17,6.934375
-2.1200001,12,6.966922
-2.2399988,224,7.236986
-2.17,17,7.37977
-3.0199993,102,7.446843
-3.3499992,135,7.560591
-1.4999989,150,7.575602
-0.74999964,75,7.592618
