app,algo,persona,episode,ep_len,ep_return,timestamp_ms,apples_eaten,deaths,steps
snake,a2c,snake_survivor,0,11,-31.110000610351562,1761518253148,0.0,1.0,11.0
snake,a2c,snake_survivor,0,15,-31.149999618530273,1761518253205,0.0,1.0,15.0
snake,a2c,snake_survivor,0,34,-31.34000015258789,1761518253494,0.0,1.0,34.0
snake,a2c,snake_survivor,0,42,-29.420000076293945,1761518253616,1.0,1.0,42.0
snake,a2c,snake_survivor,0,46,-31.459999084472656,1761518253677,0.0,1.0,46.0
snake,a2c,snake_survivor,1,46,-31.459999084472656,1761518253842,0.0,1.0,46.0
snake,a2c,snake_survivor,1,44,-31.440000534057617,1761518253870,0.0,1.0,44.0
snake,a2c,snake_survivor,0,60,-31.600000381469727,1761518253884,0.0,1.0,60.0
snake,a2c,snake_survivor,0,61,-31.610000610351562,1761518253903,0.0,1.0,61.0
snake,a2c,snake_survivor,1,27,-31.270000457763672,1761518254021,0.0,1.0,27.0
snake,a2c,snake_survivor,1,26,-31.260000228881836,1761518254069,0.0,1.0,26.0
snake,a2c,snake_survivor,0,73,-31.729999542236328,1761518254082,0.0,1.0,73.0
snake,a2c,snake_survivor,1,17,-31.170000076293945,1761518254153,0.0,1.0,17.0
snake,a2c,snake_survivor,1,47,-31.469999313354492,1761518254197,0.0,1.0,47.0
snake,a2c,snake_survivor,2,12,-31.1200008392334,1761518254235,0.0,1.0,12.0
snake,a2c,snake_survivor,2,35,-31.350000381469727,1761518254353,0.0,1.0,35.0
snake,a2c,snake_survivor,2,36,-31.360000610351562,1761518254394,0.0,1.0,36.0
snake,a2c,snake_survivor,1,46,-31.459999084472656,1761518254559,0.0,1.0,46.0
snake,a2c,snake_survivor,2,28,-31.280000686645508,1761518254560,0.0,1.0,28.0
snake,a2c,snake_survivor,2,44,-31.440000534057617,1761518254659,0.0,1.0,44.0
snake,a2c,snake_survivor,1,42,-31.420000076293945,1761518254687,0.0,1.0,42.0
snake,a2c,snake_survivor,2,34,-31.34000015258789,1761518254687,0.0,1.0,34.0
snake,a2c,snake_survivor,3,27,-31.270000457763672,1761518254743,0.0,1.0,27.0
snake,a2c,snake_survivor,3,36,-31.360000610351562,1761518254929,0.0,1.0,36.0
snake,a2c,snake_survivor,2,24,-31.239999771118164,1761518255049,0.0,1.0,24.0
snake,a2c,snake_survivor,3,35,-31.350000381469727,1761518255084,0.0,1.0,35.0
snake,a2c,snake_survivor,4,27,-31.270000457763672,1761518255160,0.0,1.0,27.0
snake,a2c,snake_survivor,4,14,-31.139999389648438,1761518255286,0.0,1.0,14.0
snake,a2c,snake_survivor,3,42,-29.420000076293945,1761518255320,1.0,1.0,42.0
snake,a2c,snake_survivor,3,45,-31.450000762939453,1761518255333,0.0,1.0,45.0
snake,a2c,snake_survivor,3,75,-31.75,1761518255346,0.0,1.0,75.0
snake,a2c,snake_survivor,3,22,-31.219999313354492,1761518255378,0.0,1.0,22.0
snake,a2c,snake_survivor,2,55,-31.549999237060547,1761518255378,0.0,1.0,55.0
snake,a2c,snake_survivor,5,32,-31.31999969482422,1761518255622,0.0,1.0,32.0
snake,a2c,snake_survivor,4,23,-31.229999542236328,1761518255682,0.0,1.0,23.0
snake,a2c,snake_survivor,4,27,-31.270000457763672,1761518255710,0.0,1.0,27.0
snake,a2c,snake_survivor,4,53,-31.530000686645508,1761518255710,0.0,1.0,53.0
snake,a2c,snake_survivor,4,30,-31.299999237060547,1761518255813,0.0,1.0,30.0
snake,a2c,snake_survivor,5,11,-31.110000610351562,1761518255867,0.0,1.0,11.0
snake,a2c,snake_survivor,3,37,-31.3700008392334,1761518255912,0.0,1.0,37.0
snake,a2c,snake_survivor,4,40,-31.399999618530273,1761518255912,0.0,1.0,40.0
snake,a2c,snake_survivor,5,43,-31.43000030517578,1761518255912,0.0,1.0,43.0
snake,a2c,snake_survivor,5,25,-31.25,1761518256049,0.0,1.0,25.0
snake,a2c,snake_survivor,6,29,-31.290000915527344,1761518256049,0.0,1.0,29.0
snake,a2c,snake_survivor,4,25,-31.25,1761518256286,0.0,1.0,25.0
snake,a2c,snake_survivor,5,35,-31.350000381469727,1761518256331,0.0,1.0,35.0
snake,a2c,snake_survivor,5,45,-29.450000762939453,1761518256372,1.0,1.0,45.0
snake,a2c,snake_survivor,7,25,-31.25,1761518256417,0.0,1.0,25.0
snake,a2c,snake_survivor,6,40,-31.399999618530273,1761518256457,0.0,1.0,40.0
snake,a2c,snake_survivor,7,12,-31.1200008392334,1761518256649,0.0,1.0,12.0
snake,a2c,snake_survivor,6,22,-31.219999313354492,1761518256718,0.0,1.0,22.0
snake,a2c,snake_survivor,6,62,-31.619998931884766,1761518256846,0.0,1.0,62.0
snake,a2c,snake_survivor,5,66,-31.65999984741211,1761518256908,0.0,1.0,66.0
snake,a2c,snake_survivor,6,72,-31.719999313354492,1761518257123,0.0,1.0,72.0
snake,a2c,snake_survivor,7,28,-31.280000686645508,1761518257256,0.0,1.0,28.0
snake,a2c,snake_survivor,6,34,-31.34000015258789,1761518257406,0.0,1.0,34.0
snake,a2c,snake_survivor,8,68,-31.68000030517578,1761518257435,0.0,1.0,68.0
snake,a2c,snake_survivor,8,59,-31.59000015258789,1761518257530,0.0,1.0,59.0
snake,a2c,snake_survivor,5,84,-29.84000015258789,1761518257545,1.0,1.0,84.0
snake,a2c,snake_survivor,6,93,-31.93000030517578,1761518257721,0.0,1.0,93.0
snake,a2c,snake_survivor,7,68,-29.68000030517578,1761518257721,1.0,1.0,68.0
snake,a2c,snake_survivor,8,38,-31.3799991607666,1761518257824,0.0,1.0,38.0
snake,a2c,snake_survivor,9,26,-31.260000228881836,1761518257917,0.0,1.0,26.0
snake,a2c,snake_survivor,7,23,-31.229999542236328,1761518258067,0.0,1.0,23.0
snake,a2c,snake_survivor,9,54,-31.53999900817871,1761518258248,0.0,1.0,54.0
snake,a2c,snake_survivor,6,53,-31.530000686645508,1761518258334,0.0,1.0,53.0
snake,a2c,snake_survivor,7,88,-31.8799991607666,1761518258440,0.0,1.0,88.0
snake,a2c,snake_survivor,9,45,-29.450000762939453,1761518258506,1.0,1.0,45.0
snake,a2c,snake_survivor,8,32,-31.31999969482422,1761518258548,0.0,1.0,32.0
snake,a2c,snake_survivor,10,46,-31.459999084472656,1761518258608,0.0,1.0,46.0
snake,a2c,snake_survivor,7,40,-31.399999618530273,1761518258928,0.0,1.0,40.0
snake,a2c,snake_survivor,10,48,-31.479999542236328,1761518258959,0.0,1.0,48.0
snake,a2c,snake_survivor,10,32,-31.31999969482422,1761518258973,0.0,1.0,32.0
snake,a2c,snake_survivor,9,30,-31.299999237060547,1761518258987,0.0,1.0,30.0
snake,a2c,snake_survivor,8,97,-31.969999313354492,1761518259172,0.0,1.0,97.0
snake,a2c,snake_survivor,8,53,-31.530000686645508,1761518259227,0.0,1.0,53.0
snake,a2c,snake_survivor,7,141,-30.40999984741211,1761518259514,1.0,1.0,141.0
snake,a2c,snake_survivor,9,35,-31.350000381469727,1761518259696,0.0,1.0,35.0
snake,a2c,snake_survivor,11,65,-31.649999618530273,1761518259956,0.0,1.0,65.0
snake,a2c,snake_survivor,11,95,-31.94999885559082,1761518260032,0.0,1.0,95.0
snake,a2c,snake_survivor,10,112,-32.119998931884766,1761518260688,0.0,1.0,112.0
snake,a2c,snake_survivor,11,115,-32.14999771118164,1761518260702,0.0,1.0,115.0
snake,a2c,snake_survivor,8,94,-31.939998626708984,1761518260942,0.0,1.0,94.0
snake,a2c,snake_survivor,12,20,-31.200000762939453,1761518261004,0.0,1.0,20.0
snake,a2c,snake_survivor,8,143,-32.43000030517578,1761518261094,0.0,1.0,143.0
snake,a2c,snake_survivor,11,30,-31.299999237060547,1761518261142,0.0,1.0,30.0
snake,a2c,snake_survivor,9,132,-30.31999969482422,1761518261231,1.0,1.0,132.0
snake,a2c,snake_survivor,12,91,-31.90999984741211,1761518261337,0.0,1.0,91.0
snake,a2c,snake_survivor,9,28,-31.280000686645508,1761518261368,0.0,1.0,28.0
snake,a2c,snake_survivor,12,91,-29.90999984741211,1761518261409,1.0,1.0,91.0
snake,a2c,snake_survivor,10,26,-31.260000228881836,1761518261624,0.0,1.0,26.0
snake,a2c,snake_survivor,12,49,-31.489999771118164,1761518261876,0.0,1.0,49.0
snake,a2c,snake_survivor,13,33,-31.329999923706055,1761518261911,0.0,1.0,33.0
snake,a2c,snake_survivor,10,40,-31.399999618530273,1761518261974,0.0,1.0,40.0
snake,a2c,snake_survivor,11,24,-31.239999771118164,1761518261989,0.0,1.0,24.0
snake,a2c,snake_survivor,13,65,-31.649999618530273,1761518261989,0.0,1.0,65.0
snake,a2c,snake_survivor,13,44,-31.440000534057617,1761518262003,0.0,1.0,44.0
snake,a2c,snake_survivor,9,68,-31.68000030517578,1761518262127,0.0,1.0,68.0
snake,a2c,snake_survivor,14,20,-31.200000762939453,1761518262304,0.0,1.0,20.0
snake,a2c,snake_survivor,14,43,-31.43000030517578,1761518262554,0.0,1.0,43.0
snake,a2c,snake_survivor,10,192,-32.91999816894531,1761518262602,0.0,1.0,192.0
snake,a2c,snake_survivor,11,42,-31.420000076293945,1761518262603,0.0,1.0,42.0
snake,a2c,snake_survivor,13,49,-31.489999771118164,1761518262616,0.0,1.0,49.0
snake,a2c,snake_survivor,14,49,-31.489999771118164,1761518262724,0.0,1.0,49.0
snake,a2c,snake_survivor,15,38,-31.3799991607666,1761518262871,0.0,1.0,38.0
snake,a2c,snake_survivor,12,21,-31.21000099182129,1761518262914,0.0,1.0,21.0
snake,a2c,snake_survivor,10,56,-31.559999465942383,1761518262962,0.0,1.0,56.0
snake,a2c,snake_survivor,15,34,-31.34000015258789,1761518263065,0.0,1.0,34.0
snake,a2c,snake_survivor,14,33,-31.329999923706055,1761518263111,0.0,1.0,33.0
snake,a2c,snake_survivor,13,28,-31.280000686645508,1761518263334,0.0,1.0,28.0
snake,a2c,snake_survivor,12,96,-31.959999084472656,1761518263421,0.0,1.0,96.0
