app,algo,persona,episode,ep_len,ep_return,timestamp_ms,apples_eaten,deaths,steps
snake,ppo,snake_survivor,0,8,-2.080000162124634,1761461999467,0.0,1.0,1.0
snake,ppo,snake_survivor,0,20,-2.200000047683716,1761461999611,0.0,1.0,1.0
snake,ppo,snake_survivor,0,28,-2.2800002098083496,1761461999710,0.0,1.0,1.0
snake,ppo,snake_survivor,0,28,-2.2800002098083496,1761461999710,0.0,1.0,1.0
snake,ppo,snake_survivor,0,37,-2.370000123977661,1761461999825,0.0,1.0,1.0
snake,ppo,snake_survivor,0,25,-2.25,1761462000141,0.0,1.0,1.0
snake,ppo,snake_survivor,0,46,-2.4600000381469727,1761462000288,0.0,1.0,1.0
snake,ppo,snake_survivor,0,76,-2.7599997520446777,1761462001081,0.0,1.0,1.0
snake,ppo,snake_survivor,0,134,-3.339999198913574,1761462001278,0.0,1.0,1.0
snake,ppo,snake_survivor,0,155,-3.5499989986419678,1761462001291,0.0,1.0,1.0
snake,ppo,snake_survivor,0,54,-2.5399999618530273,1761462001746,0.0,1.0,1.0
snake,ppo,snake_survivor,0,120,-3.1999993324279785,1761462001771,0.0,1.0,1.0
snake,ppo,snake_survivor,0,196,-3.959998607635498,1761462001797,0.0,1.0,1.0
snake,ppo,snake_survivor,0,27,-2.2700002193450928,1761462002118,0.0,1.0,1.0
snake,ppo,snake_survivor,0,197,-3.969998598098755,1761462002172,0.0,1.0,1.0
snake,ppo,snake_survivor,0,229,-4.289998531341553,1761462002319,0.0,1.0,1.0
snake,ppo,snake_survivor,0,94,-2.939999580383301,1761462002466,0.0,1.0,1.0
snake,ppo,snake_survivor,0,26,-2.259999990463257,1761462002490,0.0,1.0,1.0
snake,ppo,snake_survivor,0,19,-2.190000057220459,1761462002552,0.0,1.0,1.0
snake,ppo,snake_survivor,0,70,-2.6999998092651367,1761462002672,0.0,1.0,1.0
snake,ppo,snake_survivor,0,121,-3.2099993228912354,1761462002784,0.0,1.0,1.0
snake,ppo,snake_survivor,0,32,-2.320000171661377,1761462002860,0.0,1.0,1.0
snake,ppo,snake_survivor,0,65,-2.6499998569488525,1761462002923,0.0,1.0,1.0
snake,ppo,snake_survivor,0,105,-3.049999475479126,1761462003059,0.0,1.0,1.0
snake,ppo,snake_survivor,0,44,-2.440000057220459,1761462003099,0.0,1.0,1.0
snake,ppo,snake_survivor,0,25,-2.25,1761462003240,0.0,1.0,1.0
snake,ppo,snake_survivor,0,79,-2.7899997234344482,1761462003482,0.0,1.0,1.0
snake,ppo,snake_survivor,0,56,-2.559999942779541,1761462003572,0.0,1.0,1.0
snake,ppo,snake_survivor,0,81,-2.809999704360962,1761462003814,0.0,1.0,1.0
snake,ppo,snake_survivor,0,22,-2.2200000286102295,1761462003852,0.0,1.0,1.0
snake,ppo,snake_survivor,0,367,-5.669997215270996,1761462003950,0.0,1.0,1.0
snake,ppo,snake_survivor,0,22,-2.2200000286102295,1761462004122,0.0,1.0,1.0
snake,ppo,snake_survivor,0,125,-3.2499992847442627,1761462004248,0.0,1.0,1.0
snake,ppo,snake_survivor,0,81,-2.809999704360962,1761462004262,0.0,1.0,1.0
snake,ppo,snake_survivor,0,68,-2.679999828338623,1761462004338,0.0,1.0,1.0
snake,ppo,snake_survivor,0,9,-2.0900001525878906,1761462004456,0.0,1.0,1.0
snake,ppo,snake_survivor,0,58,-2.5799999237060547,1761462004547,0.0,1.0,1.0
snake,ppo,snake_survivor,0,18,-2.180000066757202,1761462004683,0.0,1.0,1.0
snake,ppo,snake_survivor,0,130,-3.299999237060547,1761462004706,0.0,1.0,1.0
snake,ppo,snake_survivor,0,68,-2.679999828338623,1761462004809,0.0,1.0,1.0
snake,ppo,snake_survivor,0,138,-3.3799991607666016,1761462004848,0.0,1.0,1.0
snake,ppo,snake_survivor,0,25,-2.25,1761462005025,0.0,1.0,1.0
snake,ppo,snake_survivor,0,75,-0.7499996423721313,1761462005075,0.0,1.0,1.0
snake,ppo,snake_survivor,0,75,-2.749999761581421,1761462005204,0.0,1.0,1.0
snake,ppo,snake_survivor,0,75,-2.749999761581421,1761462005216,0.0,1.0,1.0
snake,ppo,snake_survivor,0,36,-2.3600001335144043,1761462005305,0.0,1.0,1.0
snake,ppo,snake_survivor,0,57,-2.569999933242798,1761462005406,0.0,1.0,1.0
snake,ppo,snake_survivor,0,57,-2.569999933242798,1761462005801,0.0,1.0,1.0
snake,ppo,snake_survivor,0,11,-2.1100001335144043,1761462005946,0.0,1.0,1.0
snake,ppo,snake_survivor,0,47,-2.4700000286102295,1761462006020,0.0,1.0,1.0
snake,ppo,snake_survivor,0,133,-3.3299992084503174,1761462006250,0.0,1.0,1.0
snake,ppo,snake_survivor,0,103,-3.0299994945526123,1761462006541,0.0,1.0,1.0
snake,ppo,snake_survivor,0,62,-2.619999885559082,1761462006751,0.0,1.0,1.0
snake,ppo,snake_survivor,0,127,-3.2699992656707764,1761462006842,0.0,1.0,1.0
snake,ppo,snake_survivor,0,25,-2.25,1761462006867,0.0,1.0,1.0
snake,ppo,snake_survivor,0,128,-3.279999256134033,1761462006963,0.0,1.0,1.0
snake,ppo,snake_survivor,0,8,-2.080000162124634,1761462006976,0.0,1.0,1.0
snake,ppo,snake_survivor,0,158,-3.5799989700317383,1761462007065,0.0,1.0,1.0
snake,ppo,snake_survivor,0,32,-2.320000171661377,1761462007168,0.0,1.0,1.0
snake,ppo,snake_survivor,0,14,-2.140000104904175,1761462007245,0.0,1.0,1.0
snake,ppo,snake_survivor,0,27,-2.2700002193450928,1761462007310,0.0,1.0,1.0
snake,ppo,snake_survivor,0,34,-2.3400001525878906,1761462007763,0.0,1.0,1.0
snake,ppo,snake_survivor,0,120,-3.1999993324279785,1761462007812,0.0,1.0,1.0
snake,ppo,snake_survivor,0,49,-2.490000009536743,1761462007813,0.0,1.0,1.0
snake,ppo,snake_survivor,0,235,-4.349998474121094,1761462007854,0.0,1.0,1.0
snake,ppo,snake_survivor,0,10,-2.1000001430511475,1761462007892,0.0,1.0,1.0
snake,ppo,snake_survivor,0,100,-2.999999523162842,1761462008290,0.0,1.0,1.0
snake,ppo,snake_survivor,0,39,-2.390000104904175,1761462008328,0.0,1.0,1.0
snake,ppo,snake_survivor,0,90,-2.8999996185302734,1761462008433,0.0,1.0,1.0
snake,ppo,snake_survivor,0,37,-2.370000123977661,1761462008911,0.0,1.0,1.0
snake,ppo,snake_survivor,0,168,-3.6799988746643066,1761462009045,0.0,1.0,1.0
snake,ppo,snake_survivor,0,247,-4.469998359680176,1761462009244,0.0,1.0,1.0
snake,ppo,snake_survivor,0,85,-2.8499996662139893,1761462009396,0.0,1.0,1.0
snake,ppo,snake_survivor,0,138,-3.3799991607666016,1761462009660,0.0,1.0,1.0
snake,ppo,snake_survivor,0,144,-3.4399991035461426,1761462009699,0.0,1.0,1.0
snake,ppo,snake_survivor,0,51,-2.509999990463257,1761462009713,0.0,1.0,1.0
snake,ppo,snake_survivor,0,13,-2.130000114440918,1761462009865,0.0,1.0,1.0
snake,ppo,snake_survivor,0,123,-3.229999303817749,1761462009924,0.0,1.0,1.0
snake,ppo,snake_survivor,0,13,-2.130000114440918,1761462010029,0.0,1.0,1.0
snake,ppo,snake_survivor,0,62,-2.619999885559082,1761462010203,0.0,1.0,1.0
snake,ppo,snake_survivor,0,179,-1.7899987697601318,1761462010229,0.0,1.0,1.0
snake,ppo,snake_survivor,0,25,-2.25,1761462010523,0.0,1.0,1.0
snake,ppo,snake_survivor,0,54,-2.5399999618530273,1761462010626,0.0,1.0,1.0
snake,ppo,snake_survivor,0,12,-2.120000123977661,1761462010678,0.0,1.0,1.0
snake,ppo,snake_survivor,0,29,-2.2900002002716064,1761462011004,0.0,1.0,1.0
snake,ppo,snake_survivor,0,104,-3.039999485015869,1761462011004,0.0,1.0,1.0
snake,ppo,snake_survivor,0,20,-2.200000047683716,1761462011265,0.0,1.0,1.0
snake,ppo,snake_survivor,0,21,-2.2100000381469727,1761462011279,0.0,1.0,1.0
snake,ppo,snake_survivor,0,96,-2.9599995613098145,1761462011279,0.0,1.0,1.0
snake,ppo,snake_survivor,0,55,-2.549999952316284,1761462011396,0.0,1.0,1.0
snake,ppo,snake_survivor,0,184,-3.839998722076416,1761462011623,0.0,1.0,1.0
snake,ppo,snake_survivor,0,153,-3.529999017715454,1761462011690,0.0,1.0,1.0
snake,ppo,snake_survivor,0,222,-4.219998359680176,1761462011796,0.0,1.0,1.0
snake,ppo,snake_survivor,0,54,-2.5399999618530273,1761462011982,0.0,1.0,1.0
snake,ppo,snake_survivor,0,23,-2.2300000190734863,1761462012099,0.0,1.0,1.0
snake,ppo,snake_survivor,0,155,-3.5499989986419678,1761462012241,0.0,1.0,1.0
snake,ppo,snake_survivor,0,76,-2.7599997520446777,1761462012271,0.0,1.0,1.0
snake,ppo,snake_survivor,0,83,-2.8299996852874756,1761462012349,0.0,1.0,1.0
snake,ppo,snake_survivor,0,28,-2.2800002098083496,1761462012611,0.0,1.0,1.0
snake,ppo,snake_survivor,0,29,-2.2900002002716064,1761462012729,0.0,1.0,1.0
snake,ppo,snake_survivor,0,90,-2.8999996185302734,1761462012804,0.0,1.0,1.0
snake,ppo,snake_survivor,0,67,-2.669999837875366,1761462012979,0.0,1.0,1.0
snake,ppo,snake_survivor,0,132,-3.3199992179870605,1761462013122,0.0,1.0,1.0
snake,ppo,snake_survivor,0,39,-2.390000104904175,1761462013317,0.0,1.0,1.0
snake,ppo,snake_survivor,0,24,-2.240000009536743,1761462013432,0.0,1.0,1.0
snake,ppo,snake_survivor,0,98,-0.9799994230270386,1761462013547,0.0,1.0,1.0
snake,ppo,snake_survivor,0,129,-3.28999924659729,1761462013665,0.0,1.0,1.0
snake,ppo,snake_survivor,0,31,-2.31000018119812,1761462013715,0.0,1.0,1.0
snake,ppo,snake_survivor,0,15,-2.1500000953674316,1761462013864,0.0,1.0,1.0
snake,ppo,snake_survivor,0,36,-2.3600001335144043,1761462014186,0.0,1.0,1.0
snake,ppo,snake_survivor,0,138,-3.3799991607666016,1761462014531,0.0,1.0,1.0
snake,ppo,snake_survivor,0,88,-0.8799995183944702,1761462014583,0.0,1.0,1.0
snake,ppo,snake_survivor,0,227,-4.269998550415039,1761462014658,0.0,1.0,1.0
snake,ppo,snake_survivor,0,12,-2.120000123977661,1761462014686,0.0,1.0,1.0
snake,ppo,snake_survivor,0,16,-2.1600000858306885,1761462014791,0.0,1.0,1.0
snake,ppo,snake_survivor,0,108,-3.0799994468688965,1761462014969,0.0,1.0,1.0
snake,ppo,snake_survivor,0,89,-2.8899996280670166,1761462015038,0.0,1.0,1.0
snake,ppo,snake_survivor,0,62,-2.619999885559082,1761462015487,0.0,1.0,1.0
snake,ppo,snake_survivor,0,192,-3.9199986457824707,1761462015499,0.0,1.0,1.0
