#{"t_start": 1761461997.9387927, "env_id": "None"}
r,l,t
-2.0800002,8,1.521903
-2.2,20,1.666111
-2.2800002,28,1.764941
-2.2800002,28,1.764982
-2.3700001,37,1.879718
-2.25,25,2.195635
-2.46,46,2.343156
-2.7599998,76,3.135334
-3.3399992,134,3.332906
-3.549999,155,3.345986
-2.54,54,3.801088
-3.1999993,120,3.82607
-3.9599986,196,3.851584
-2.2700002,27,4.172505
-3.9699986,197,4.226374
-4.2899985,229,4.373345
-2.9399996,94,4.520374
-2.26,26,4.544773
-2.19,19,4.606783
-2.6999998,70,4.726648
-3.2099993,121,4.83851
-2.3200002,32,4.914535
-2.6499999,65,4.97691
-3.0499995,105,5.113473
-2.44,44,5.153294
-2.25,25,5.293986
-2.7899997,79,5.537171
-2.56,56,5.627029
-2.8099997,81,5.86816
-2.22,22,5.906136
-5.669997,367,6.004948
-2.22,22,6.176176
-3.2499993,125,6.302264
-2.8099997,81,6.316004
-2.6799998,68,6.391681
-2.0900002,9,6.510096
-2.58,58,6.600759
-2.18,18,6.737278
-3.2999992,130,6.760612
-2.6799998,68,6.863231
-3.3799992,138,6.902579
-2.25,25,7.079243
-0.74999964,75,7.129793
-2.7499998,75,7.258468
-2.7499998,75,7.270325
-2.3600001,36,7.359349
-2.57,57,7.460492
-2.57,57,7.855495
-2.1100001,11,8.000511
-2.47,47,8.067588
-3.3299992,133,8.303871
-3.0299995,103,8.595706
-2.62,62,8.805385
-3.2699993,127,8.896528
-2.25,25,8.921372
-3.2799993,128,9.01668
-2.0800002,8,9.030512
-3.579999,158,9.119418
-2.3200002,32,9.221872
-2.14,14,9.298837
-2.2700002,27,9.363744
-2.3400002,34,9.809926
-3.1999993,120,9.866788
-2.49,49,9.866825
-4.3499985,235,9.908517
-2.1000001,10,9.94592
-2.9999995,100,10.344562
-2.39,39,10.382709
-2.8999996,90,10.487521
-2.3700001,37,10.96381
-3.6799989,168,11.099581
-4.4699984,247,11.298393
-2.8499997,85,11.449751
-3.3799992,138,11.713501
-3.439999,144,11.752908
-2.51,51,11.76772
-2.13,13,11.919275
-3.2299993,123,11.978668
-2.13,13,12.083295
-2.62,62,12.25723
-1.7899988,179,12.283209
-2.25,25,12.577351
-2.54,54,12.679936
-2.1200001,12,12.73206
-2.2900002,29,13.05753
-3.0399995,104,13.057571
-2.2,20,13.319259
-2.21,21,13.33288
-2.9599996,96,13.332922
-2.55,55,13.449715
-3.8399987,184,13.677411
-3.529999,153,13.744004
-4.2199984,222,13.850336
-2.54,54,14.035923
-2.23,23,14.153469
-3.549999,155,14.295148
-2.7599998,76,14.32553
-2.8299997,83,14.402797
-2.2800002,28,14.665522
-2.2900002,29,14.783209
-2.8999996,90,14.858268
-2.6699998,67,15.033088
-3.3199992,132,15.176479
-2.39,39,15.371312
-2.24,24,15.486217
-0.9799994,98,15.601064
-3.2899992,129,15.719616
